,Zip Code,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Venue ID,City,Date,Genre Name,Genre ID,Max Ticket Price,Day of the Week
0,37219,1060.0,41.8,73676.0,64868.0,96.0,KovZpa61Ge,Nashville,9/30/2019,R&B,KnvZfZ7vAee,70.0,Monday
1,40202,6827.0,36.3,17372.0,22211.0,2065.0,KovZpZAEk6tA,Louisville,10/2/2019,R&B,KnvZfZ7vAee,75.0,Wednesday
2,46204,7554.0,31.7,49757.0,38090.0,1159.0,KovZpZA6keIA,Indianapolis,12/10/2019,R&B,KnvZfZ7vAee,75.0,Tuesday
3,55415,4315.0,32.6,83793.0,60258.0,725.0,KovZ917AQC0, Minneapolis,10/9/2019,R&B,KnvZfZ7vAee,74.5,Wednesday
4,55415,4315.0,32.6,83793.0,60258.0,725.0,KovZ917AQC0, Minneapolis,10/11/2019,R&B,KnvZfZ7vAee,74.5,Friday
5,60640,68258.0,37.4,50488.0,39257.0,13808.0,KovZpZAFdJnA,Chicago,9/28/2019,R&B,KnvZfZ7vAee,55.0,Saturday
6,60640,68258.0,37.4,50488.0,39257.0,13808.0,KovZpZAFdJnA,Chicago,9/29/2019,R&B,KnvZfZ7vAee,55.0,Sunday
7,63112,19443.0,34.0,36638.0,25835.0,4621.0,KovZpZA6AJ7A,St Louis,10/8/2019,R&B,KnvZfZ7vAee,44.5,Tuesday
8,75215,15664.0,39.5,27358.0,17301.0,5344.0,KovZpZAEAFdA,Dallas,10/5/2019,R&B,KnvZfZ7vAee,70.0,Saturday
9,77002,12370.0,34.1,72306.0,34779.0,864.0,KovZpZAEkIIA,Houston,10/4/2019,R&B,KnvZfZ7vAee,92.75,Friday
10,80218,19214.0,33.1,56430.0,53058.0,2995.0,KovZpZAE6eJA,Denver,10/15/2019,R&B,KnvZfZ7vAee,69.75,Tuesday
11,80218,19214.0,33.1,56430.0,53058.0,2995.0,KovZpZAE6eJA,Denver,10/16/2019,R&B,KnvZfZ7vAee,69.75,Wednesday
12,89109,7705.0,43.4,46875.0,48514.0,1313.0,KovZpZAJAJeA,Las Vegas,10/25/2019,R&B,KnvZfZ7vAee,94.5,Friday
13,90028,31054.0,34.4,40068.0,32587.0,7448.0,KovZpZAEAlaA,Hollywood,10/18/2019,R&B,KnvZfZ7vAee,99.5,Friday
14,90028,31054.0,34.4,40068.0,32587.0,7448.0,KovZpZAEAlaA,Hollywood,10/20/2019,R&B,KnvZfZ7vAee,99.5,Sunday
15,90028,31054.0,34.4,40068.0,32587.0,7448.0,KovZpZAEAlaA,Hollywood,10/21/2019,R&B,KnvZfZ7vAee,99.5,Monday
16,94102,30140.0,41.5,33552.0,43488.0,6957.0,KovZpaKope,San Francisco,10/27/2019,R&B,KnvZfZ7vAee,49.5,Sunday
17,94102,30140.0,41.5,33552.0,43488.0,6957.0,KovZpaKope,San Francisco,10/28/2019,R&B,KnvZfZ7vAee,69.5,Monday
